   Boiling   Pressure
  210.8000   29.2110
  210.2000   28.5590
  208.4000   27.9720
  202.5000   24.6970
  200.6000   23.7260
  200.1000   23.3690
  199.5000   23.0300
  197.0000   21.8920
  196.4000   21.9280
  196.3000   21.6540
  195.6000   21.6050
  193.4000   20.4800
  193.6000   20.2120
  191.4000   19.7580
  191.1000   19.4900
  190.6000   19.3860
  189.5000   18.8690
  188.8000   18.3560
  188.5000   18.5070
  185.7000   17.2670
  186.0000   17.2210
  185.6000   17.0620
  184.1000   16.9590
  184.6000   16.8810
  184.1000   16.8170
  183.2000   16.3850
  182.4000   16.2350
  181.9000   16.1060
  181.9000   15.9280
  181.0000   15.9190
  180.6000   15.3760
