hour	machine	volume
1	1	357.8
1	2	358.7
2	1	356.6
2	2	358.5
3	1	357.1
3	2	357.9
4	1	357.3
4	2	358.2
5	1	356.7
5	2	358
6	1	356.8
6	2	359.1
7	1	357
7	2	357.5
8	1	356
8	2	356.4
9	1	355.9
9	2	357.9
10	1	357.8
10	2	358.5
11	1	357
11	2	359.6
12	1	357.1
12	2	357.6
13	1	356.3
13	2	358.1
14	1	356.3
14	2	356.9
15	1	356
15	2	356.4
16	1	357
16	2	357.5
17	1	357.5
17	2	357.2
18	1	355.9
18	2	357.1
19	1	356.5
19	2	358.2
20	1	355.8
20	2	359
21	1	356.5
21	2	357.3
22	1	356.9
22	2	356.7
23	1	357.5
23	2	356.9
24	1	356.9
24	2	357.1
25	1	356.9
25	2	356.4
26	1	356.4
26	2	357.5
27	1	356.5
27	2	357
28	1	356.5
28	2	358.1
29	1	357.6
29	2	357.6
30	1	357.5
30	2	356.4
31	1	357.7
31	2	357
32	1	356.3
32	2	357.8
33	1	356.6
33	2	357.5
34	1	356.7
34	2	356.5
35	1	356.8
35	2	357.6
36	1	356.6
36	2	357.2
37	1	356.6
37	2	357.6
38	1	356.7
38	2	356.9
39	1	356.8
39	2	357.2
40	1	356.1
40	2	356.4
