sex	length
F	93
F	97
F	92
F	101.6
F	93
F	84.5
F	102.5
F	97.8
F	91
F	98
F	93.5
F	91.7
F	90.2
F	91.5
F	80
F	86.4
F	91.4
F	83.5
F	88
F	71
F	81.3
F	88.5
F	86.5
F	90
F	84
F	89.5
F	84
F	85
F	87
F	88
F	86.5
F	96
F	87
F	93.5
F	93.5
F	90
F	85
F	97
F	86
F	73.7
M	97
M	95
M	96
M	91
M	95
M	84.5
M	88
M	96
M	96
M	87
M	95
M	100
M	101
M	96
M	93
M	92.5
M	95
M	98.5
M	88
M	81.3
M	91.4
M	88.9
M	86.4
M	101.6
M	83.8
M	104.1
M	88.9
M	92
M	91
M	90
M	85
M	93.5
M	78
M	100.5
M	103
M	91
M	105
M	86
M	95.5
M	86.5
M	90.5
M	80
M	80
