   wine  rate
     5    41
     4    32
     3    39
     7    58
    11    75
     9    60
     6    54
     3    48
    12    77
     7    57
    14    81
    12    34
    10    53
    10    55
    14    58
     9    63
     7    67
    18    57
     6    38
    31   130
    13    70
    20   104
    19    84
    10    66
     4    52
    16    87
     9    67
     6    40
     6    56
    21    58
    15    74
    17    98
     7    41
    13    67
     8    48
    28   123
    23    92
    22    76
    23    98
     7    34
    16    91
     2    30
     6    28
     3    52
     8    56
    13    56
