      Skinfold     BodyDensity      
       1.6841       1.0613
       1.9639       1.0478
       1.0803       1.0854
       1.7541       1.0629
       1.6368       1.0652
       1.2857       1.0813
       1.4744       1.0683
        1.642       1.0575
       2.3406       1.0126
       2.1659       1.0264
       1.2766       1.0829
       2.2232       1.0296
       1.7246        1.067
       1.5544       1.0688
       1.7223       1.0525
       1.5237       1.0721
       1.5412       1.0672
       1.8896        1.035
       1.8722       1.0528
        1.874       1.0473
        1.713        1.056
       1.3073       1.0848
       1.7229       1.0564
         1.92       1.0338
       1.6736        1.056
       1.7914       1.0487
       1.7249       1.0496
       1.5025       1.0824
       1.6314       1.0526
        1.398       1.0707
       1.7598       1.0459
       1.3203       1.0697
       1.3372        1.077
       1.3932       1.0727
      0.93233       1.1171
       1.8785       1.0423
       1.6382       1.0506
        1.405       1.0878
       1.8638       1.0557
       1.1985       1.0854
       1.5459       1.0527
       1.5159       1.0635
       1.6369       1.0583
       1.6355       1.0621
       1.3813       1.0736
       1.5615       1.0682
       1.5324       1.0696
       1.7035       1.0449
        1.804       1.0411
       1.8075       1.0426
       1.3815       1.0715
       1.5847       1.0602
       1.3059       1.0807
       1.3276       1.0536
       1.5665       1.0602
       1.8989       1.0536
       1.4018       1.0655
       1.6482       1.0668
       1.5193         1.07
       1.8092       1.0485
       1.3329       1.0804
        1.575       1.0503
       1.6873       1.0557
       1.8056       1.0625
       1.9014       1.0438
       1.5866       1.0632
        1.246       1.0782
       1.4077       1.0739
       1.3388       1.0805
       2.0755       1.0355
       1.4351       1.0693
       1.7295       1.0518
       1.5265       1.0837
       1.7599       1.0328
       1.4029       1.0933
       1.2653        1.086
       1.2609       1.0919
       1.6734       1.0433
       1.5297       1.0614
       1.5257       1.0643
       1.8744       1.0482
        1.631       1.0459
       1.6107       1.0653
       1.9108       1.0321
       1.3943       1.0755
       1.7184         1.06
       1.7483       1.0554
       1.5154       1.0765
       1.6146       1.0696
       1.3163       1.0744
       1.3202       1.0818
       1.5906       1.0546
