    Algorithm       Time
       A           3.8500
       A           2.8100
       A           6.4700
       A           7.5900
       A           4.5800
       A           5.4700
       A           4.7200
       A           3.5600
       A           3.2200
       A           5.5800
       A           4.5800
       A           5.4600
       A           3.3100
       A           4.3300
       A           4.2600
       A           6.2900
       A           5.0400
       A           5.0800
       A           5.0800
       A           3.4700
       B           2.6600
       B           2.9800
       B           5.3500
       B           6.4300
       B           4.2800
       B           5.0600
       B           4.3600
       B           3.9100
       B           3.2800
       B           5.1900
       B           4.0500
       B           4.7800
       B           3.7700
       B           3.8100
       B           3.1700
       B           6.0200
       B           4.8400
       B           4.8100
       B           4.3400
       B           3.4800
