     Group         DRP
    Treatment       24
    Treatment       43
    Treatment       58
    Treatment       71
    Treatment       43
    Treatment       49
    Treatment       61
    Treatment       44
    Treatment       67
    Treatment       49
    Treatment       53
    Treatment       56
    Treatment       59
    Treatment       52
    Treatment       62
    Treatment       54
    Treatment       57
    Treatment       33
    Treatment       46
    Treatment       43
    Treatment       57
    Control         42
    Control         43
    Control         55
    Control         26
    Control         62
    Control         37
    Control         33
    Control         41
    Control         19
    Control         54
    Control         20
    Control         85
    Control         46
    Control         10
    Control         17
    Control         60
    Control         53
    Control         42
    Control         37
    Control         42
    Control         55
    Control         28
    Control         48
